2026-02-05T16:56:01.691114+0800 INFO Initializing batch run...
2026-02-05T16:57:21.266274+0800 INFO Initializing batch run...
2026-02-05T17:00:10.406941+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00004.bin
2026-02-05T17:02:58.640100+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00002.bin
2026-02-05T17:05:46.898903+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00008.bin
2026-02-05T17:08:58.878433+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00009.bin
2026-02-05T17:11:47.128177+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00003.bin
2026-02-05T17:14:58.973526+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00000.bin
2026-02-05T17:18:10.763767+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00006.bin
2026-02-05T17:20:59.079931+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00005.bin
2026-02-05T17:24:10.888847+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00007.bin
2026-02-05T17:26:59.144471+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/splayed/AYL-00001.bin
